제목,날짜,본문
다시 '금리'의 시간…저변동·고배당株 '피난처'로,2022-09-15 17:45:00+09:00,"서울 중구 하나은행 딜링룸 전광판. 2022.9.14/뉴스1 © News1 임세영 기자

인플레이션(물가 상승)으로 고강도 긴축 흐름이 계속될 것으로 전망되면서 증시를 향한 하방 압박이 이어지고 있다.뚜렷한 반등 모멘텀을 기대하기 어려운 상황에서 방어 전략으로 변동성이 크지 않은 종목과 고배당주 등이 거론된다.15일 증권가에 따르면 미국 8월 소비자물가지수(CPI)가 예상치를 웃돌면서 연말 기준금리 전망치를 상향 조정하는 움직임이 나오고 있다.다음 주로 예정된 미 연방공개시장위원회(FOMC) 9월 정례회의에서는 '자이언트 스텝'(기준금리 0.75%포인트 인상)이 확실시되고 있다.시장은 이후 11월과 12월 FOMC에서도 연방준비제도(Fed·연준)가 긴축 고삐를 늦추지 않을 것이라는 전망에 무게를 두는 모습이다.교보증권도 이날 올해 말 미국 연방기금 목표금리 전망치를 기존 4.0%에서 4.25%로 올리고, 내년 상반기 전망치도 4.25%에서 4.5%로 수정했다.이달 세 번째 자이언트 스텝을 밝고 난 뒤에도 남은 두 차례 정례회의에서 '빅스텝'(기준금리 0.5%포인트 인상) 이상이 나올 것이라는 판단이다.물가 충격이 증시에 가해지고 있는 상황에서 현대차증권은 저변동성 가치주에 관심을 둘 필요가 있다고 밝혔다.현대차증권은 변동성 장세 확대와 금리 상승기에 상대적으로 강세를 기록할 것으로 예상되는 10개 종목을 추렸다.주가순자산비율(PBR)이 낮은 가치주 중 연초 이후와 최근 1개월 변동성이 모두 낮은 종목을 선별했는데, 이들 종목은 대체로 수익률이 코스피 지수를 상회했다.특히 △삼성카드(-1.9·-0.2%, 각각 최근 1개월·연초 대비 수익률) △GS(5.1·17.8%) △삼성화재(0.3·-2.2%) KT(-1.7·21.1%) DB손해보험(-3.2·12.8%) 등 5개 종목은 주가 방어력이 뚜렷했다.코스피의 1개월과 연초 대비 수익률은 각각 -4.28·-19.93%다.나머지 DGB금융지주(-3.7·-21.1%) △효성(-1.9·-0.2%) △CJ대한통운(-9.0·-7.5%) △CJ(-5.6·-8.5%) △현대백화점(-5.8·-17.7%) 등도 코스피 수익률을 상회하거나 하회해도 차이가 크지는 않았다.현대차증권은 또 고배당 종목이 시장 조정 국면에서 방어주 역할을 담당하고 있다고 분석했다.김중원 현대차증권 투자전략팀장은 ""지난달 말까지 월 수익률을 비교하면 코스피 고배당 50 지수는 시장이 양호했던 5월과 7월을 제외하면 모두 코스피 50 지수를 상회하는 수익률을 기록했다""고 밝혔다.코스피 고배당 50 지수를 구성하는 종목으로는 삼성전자와 현대차를 포함해 4대 금융지주(KB·신한·하나·우리)와 KT＆G, SK텔레콤, KT 등이 있다.최유준 신한금융투자 연구원은 ""2차전지나 자동차와 함께 통신, 필수소비재 같은 방어주도 함께 가져가는 전략을 생각해볼 수 있다""고 밝혔다.고배당 상장지수펀드(ETF)도 최근 변동성 장세에서 상대적으로 안정적인 흐름을 이어가고 있다.KODEX 고배당 ETF는 이날 기준 최근 1개월간 수익률이 -0.05%를 기록하고 있으며, TIGER 코스피고배당 ETF도 -2.31%를 나타내고 있다.KBSTAR200 고배당커버드콜ATM ETF 같은 커버드콜 전략을 구사하는 배당 ETF도 안정적인 수익을 노려볼 수 있는 상품으로 꼽힌다. 커버드콜 전략은 주식 매수와 함께 콜옵션(살 수 있는 권리) 매도로 위험을 회피한다.금정섭 ETF마케팅본부 본부장은 ""커버드콜 전략은 변동성 높은 박스권 장세에서 지수 대비 초과 성과를 기대할 수 있다""고 밝혔다.kingkong@news1.kr"
"[주린이의 공모주] KB금융 첫 리츠 vs 반도체 소부장기업, 투자자 선택은?",2022-09-14 14:45:17+09:00,"저도 '따상'을 먹고 싶었습니다. 하지만 주린이(주식+어린이)에게 주식시장은 생각처럼 호락호락한 곳이 아니더군요. 그래서 시작했습니다. 주식공부를. 주변을 둘러보니 여전히 '묻지마 투자'를 하는 친구들이 많습니다. 공모주에 투자하려면 최소한 그 회사의 사업모델이나 실적전망, 리스크 요소 등은 알고 해야한다고 하더군요. 하지만 공부는 언제나 쉽지 않죠. 그런 여러분을 위해 '주린이의 공모주'가 먼저 알아봤습니다. [편집자주]

[아이뉴스24 오경선 기자] KB금융그룹에서 처음 선보이는 리츠(REITs·부동산투자회사)인 KB스타리츠와 인공지능 반도체 설계 지적재산권(IP) 플랫폼 회사 오픈엣지테크놀로지가 기업공개(IPO) 일반 공모를 앞두고 있습니다. 오는 15~16일 동시에 공모를 진행하는데요. 기술 경쟁력 등 투자 포인트에 대해 살펴보겠습니다.

KB스타리츠는 벨기에 브뤼셀에 위치한 노스갤럭시타워와 영국 처트시에 소재한 삼성유럽HQ를 주요 기초자산으로 보유하고 있습니다. 사진은 KB스타리츠의 투자 구조도. [사진=KB스타리츠 증권신고서]

◆ KB스타리츠, 연 7%대 배당수익률로 투자자 공략

KB자산운용이 선보이는 KB스타리츠는 벨기에 브뤼셀에 위치한 노스갤럭시타워와 영국 처트시에 소재한 삼성유럽HQ를 주요 기초자산으로 보유하고 있습니다.

벨기에 노스갤럭시타워는 우량 임차인인 벨기에 재무부가 99.65% 임대하고 있어 안정적인 자산으로 평가받습니다. 준공 당시 벨기에 재무부 맞춤형 데이터센터를 설계 완료해 했으며 향후 임차인인 벨기에 재무부가 자기 자본 약 680억원을 투입해 추가 리모델링을 할 계획을 갖고 있습니다.

영국 삼성유럽HQ는 프라임 오피스 빌딩으로 우량한 신용도를 가진 삼성전자가 20년간 100% 단독 임차 중인 곳입니다. 자산 매입 당시 임차인이 약 250억원의 자금을 투입해 대수선했고, 삼성전자 유럽 총괄 법인으로서 주변 사업 부문을 본 자산으로 통합 완료했습니다.

KB스타리츠는 KB스타갤럭시리츠 지분증권을 영속형으로 보유·운용하며 임대수입을 재원으로 배당할 예정입니다. 삼성유럽HQ 자산에 대해서는 펀드 설정기간 만료시점인 오는 2024년 12월 경제환경과 부동산 시장환경을 고려해 시장매각 등을 진행할 계획입니다. 이를 통해 매각 차익은 주주에게 배당으로 지급하고, 원금은 신규 자산에 재투자한다는 전략입니다.

KB스타리츠는 낮은 공실률과 안정적인 임대료 수취를 바탕으로 연 환산 7%대의 배당수익률을 목표로 하고 있습니다. 제2기(2022년7월1일~2023년1월31일) 예상 배당률은 7.40%, 제3기(2023년2월1일~2023년7월31일) 예상 배당률은 7.73% 수준입니다.

KB스타리츠는 총 3천70만주를 발행해 1천535억원을 조달합니다. 주당 모집가액은 5천원, 대표 주관사는 KB증권입니다.

반도체 IP 전문기업 오픈엣지테크놀로지도 오는 15~16일 일반공모를 진행합니다. 사진은 이성현 오픈엣지테크놀로지 대표가 기업공개(IPO) 기자간담회에서 설명하고 있는 모습. [사진=오픈엣지테크놀로지]

◆ 오픈엣지테크놀로지, AI 반도체 IP 설계 기술력 강점

오픈엣지테크놀로지는 인공지능(AI) 기술을 자율주행자동차, 보안카메라 등과 같은 환경에서 구현하기 위해 필요한 시스템반도체 설계 지적재산(IP) 기술을 개발하는 기업입니다. 시스템반도체 밸류체인은 설계와 반도체 칩 양산, 판매로 이어지는데요. 오픈엣지테크놀로지는 AI 반도체 칩 설계에 필요한 핵심 기능 블록을 개발해 칩을 직접 개발하는 팹리스, 디자인 서비스를 제공하는 디자인하우스, 칩을 직접 개발하는 종합반도체 업체 등에 공급합니다.

회사 경쟁력은 'AI 플랫폼 IP 솔루션'에 있습니다. 이 솔루션은 고성능 토탈메모리 시스템 IP 솔루션과 신경망 처리장치(NPU)를 결합시킨 것으로 전 세계에서 유일하게 오픈엣지테크놀로지가 제공하고 있습니다. 엣지용 AI 반도체를 개발하는데 최적화된 기술로, AI 반도체의 핵심 골격을 제공합니다.

주요 매출원은 고객사로부터 수취하는 IP 라이선스 수수료입니다. 지난해 올린 연간 매출 52억원 중 라이선스 비중이 83.7%, 유지·보수 비중이 15.6%, 로열티 비중이 0.7% 가량입니다. 올해 상반기엔 70억원의 매출을 올리며 반기만에 전년도 연간 실적을 뛰어넘었습니다. 상반기 영업손실은 61억원 가량인데요. 회사는 예비기술성평가에서 반도체 IP 업계 최초로 AA 등급을 획득한 것을 바탕으로 테슬라 요건(이익 미실현 특례 상장) 상장을 준비하고 있습니다.

회사는 시스템 반도체 설계자산과 통합솔루션 개발·공급 사업을 영위하는 해외 기업인 케이던스 디자인 시스템스, 시놉시스, M31 테크놀로지 등 3곳을 비교 기업으로 선정했습니다. 3사의 평균 주가수익비율(PER) 38.52배를 적용해 주당 평가가액을 2만2천744원으로 산출했습니다. 여기에 21.06~34.05%의 할인율을 적용해 공모가 희망밴드를 1만5천~1만8천원으로 제시했습니다.

오픈엣지테크놀로지의 총 공모 주식 수는 363만6천641주, 총 공모금액은 희망밴드 기준 545억~655억원 규모입니다. 대표주관사인 삼성증권을 통해 공모를 진행합니다."
