제목,날짜,본문
[Who Is ?] 장덕현 삼성전기 대표이사 사장,2023-01-25 08:30:00+09:00,▲ 장덕현 삼성전기 대표이사 사장(왼쪽 세 번째)이 2022년 11월17일 열린 ‘2022 컬처페어’에서 최우수상을 차지한 패키지부산제조팀원들과 함께 주먹을 들어 보이고 있다. <삼성전기>
[영상] 전자부품 소부장 IPO 흥행 '희비'... 앞으로 주목할 회사는?,2023-01-27 18:25:00+09:00,"진행 : 디일렉 한주엽 대표

출연 : 레드일렉 이종준 심사역

-오랜만에 자본시장 얘기 좀 해보겠습니다. 레드일렉 이종준 심사역 모셨습니다. 안녕하십니까.

“안녕하세요.”

-우리 분야라고 하면 반도체, 디스플레이, 배터리 기타 부품들 하는 회사들 얘기를 하는 건데요. 작년에 상장을 많이 했고 올해도 계속하고 있어요. 연말에 작년 연말에도 했고 계속했는데 희비가 좀 있는 것 같아요.

“그렇습니다. 연초라고 해봐야 지금 1월이 다 안 끝났는데요.”

-20일 지났죠.

“저희가 올해 상장이나 혹은 그런 과정을 거친 기업들을 대상으로 얘기를 할 텐데요.”

-TEMC는 작년 하반기에는 굉장히 좋아 보인다는 얘기들이 많았거든요.

“저희도 영상에 잠깐 얘기도 하긴 했었고요.”

-그런데 참패했어요.

“그렇습니다. 공모가 하단보다도 더 아래를 맞았는데 왜 그러냐 봤더니 여기가 네온 가스를 주제품으로 하지 않습니까. 여기가 뜨게 된 이유도 네온 가스 가격이 갑자기 우크라이나 전쟁 때문에, 가격이 폭등했는데 외부적인 요인으로 인해서 현재 네온 가스 가격은 점차 하락세고 떨어지는 추세입니다. 그래서 아마도 그런 게 시장에서 작용하지 않았을까 싶습니다.”

-오른 것도 굉장히 우연적인 이슈 때문이었죠. 러시아와 우크라이나의 전쟁 때문이었는데 그게 우연이 아니고 몇 년 전부터 계획했던 거라고 러시아에서 얘기한다고 하면 할 말은 없지만, 우리 입장에서는 굉장히 예상치 않았던 일이었잖아요.

“네온 가스 가격에 대해서 잠깐 말씀을 드리자면, 우리나라 수입액 기준으로 2021년에 연 평균 수입 단가가 톤(t)당 6만 달러 정도 됐는데요. 작년에는 6월에 최고치를 찍었는데 6월 평균단가가 290만 달러로 50배가 올랐습니다. 그런데 작년 12월에 월평균 단가가 58만 달러 정도 확 떨어졌고, 내려가는 추세입니다. 2021년에 연평균 단가보다는 아직 작년 12월을 기준으로 하면 한 10배 정도 차이는 나지만, 그래도 50배에서 10배 이렇게 된 거니까요. 그런데 여기가 희망 레인지보다 하단보다 낮게 공모가가 결정됐는데 그렇다고 해서 상장 전에 지분 투자를 한 곳이 어떤 손해를 봤느냐면 꼭 그렇지는 않습니다. 여기가 2022년 작년 2월에 삼성 벤처 투자에서 만든 펀드로부터 투자받습니다.”

-SVIC죠.

“여기서 76억원 정도 들어왔는데 그 이후에 이때도 주당 단가가 당연히 있었을 텐데 이후에 TEMC가 무상증자를 했기 때문에 그거를 지금의 기준에 맞춰서 계산해보면 이때 주당 단가가 8700원입니다. 여기가 공모가로 결정이 된 게 2만8000원이니까 3배 좀 더 높게 평가 가치가 된 겁니다.”

-프리 IPO(Pre-IPO)보다 3배가 올랐는데, 기대치를 너무 높게 잡았다는 건가요?

“그렇게 볼 수 있습니다. 그러니까 IPO 했을 때 우리가 흥행에 참패했다, 혹은 IPO 대비 하단보다도 떨어졌다고 볼 때 진짜 그러면 이게 정말 어느 기준에서 봐야 할 것이냐는 조금 있는 것 같습니다. 당연히 IPO 할 때 기대했던 것보다는 당연히 떨어지는데 그래서 공모가가 결정됐을 때 애초에 기대한 것보다도 신주 발행 수를 줄이면서 이번에 상장했거든요. 그 말인즉 IPO 할 때는 그래도 “이 정도 레인지 안에서는 받겠지” 하고 기대한 건데, 막상 봤을 때는 1년 전보다 어쨌든 기업 가치는 3배 이상 커지는 걸로 상장을 한 거니까요.”

-참패라고 얘기하기에는 좀 그렇긴 하겠네요. 말하자면 처음에 희망한 기업가치는 3500억에서 4200억 정도였는데, 까보니까 공모 기업가치가 3086억원 이었으니까요. 언론에서는 참패했다고 얘기는 하지만, 프리 IPO 대비로는 한 3배 정도 오른 겁니다. 그래서 애초에 레인지를 2500억에서 3000억 이렇게 잡았으면 상단 받았다고 얘기할 수도 있는 거네요.

“그렇습니다. 저도 볼 때마다 약간 느끼는 것이 어떻게 기준을 삼아야 하는 것이냐 그런 측면이 있습니다. 삼성벤처투자가 투자를 한 해, 작년이죠. 작년에 TEMC는 삼성전자로부터의 매출이 발생하기 시작했습니다.”

-회사로만 본다고 하더라도 그렇게 허무맹랑한 이런 사업 구조라든지 이런 건 아니고, 다만 네온 가스의 가격이 급등하다가 지금 많이 꺾여서 약간 좀 잠잠한 느낌이다, 이 정도로 정리할 수 있는 거군요.

“그렇습니다.”

-여기 말고 미래반도체라는 회사도 있죠. 무진전자, 지금은 거의 공중 분해돼 없어졌죠. 에스에이엠티(SAMT) 그리고 신성반도체와 함께 삼성의 반도체를 유통하는 회사인데 여기는 잘 됐죠.

“여기는 공모가 상단, 기대했던 거에서 공모가 상단 맞았습니다.”

-상단 맞아서 시총이 얼마였습니까. 상장되고 나서요.

“지금 아마 상장 안 됐을 텐데요.”

-계산해 보면 866억인데, TEMC는 3000억 넘게 벨류를 인정받았는데도 참패라고 얘기하고, 여기는 866억원인데도 공모가 상단 아니면 기대보다는 더 받았다고 하고 있습니다.

“물론 그게 기업의 재무에 따라서 우리가 보통 퍼(PER)를 많이 쓰는데 순익에 따라서 기업 가치를 평가하게 되고 그거를 현재 상장된 기업들의 퍼(PER)가 어느 정도 수준이냐에 맞게 적용하는 그런 걸 제일 많이 쓰는데요. 아무래도 반도체 유통업 자체의 퍼(PER)가 그렇게 높지 않습니다. 그러니까 순익 대비 기업 가치가 높지 않은 겁니다. 여기도 순이익은 그래도 꽤 납니다. 작년 3분기 누적으로 142억원의 순이익이 났으니까요. ”

-그냥 사업구조로만 보면 엄청 알짜예요. 직원 숫자가 30명이 안 된다니까요. 그리고 이 정도 매출액에, 순익의 지분도 최대 주주가 100% 다 들고 있어요.

“최대 주주 측이죠.”

-다 들고 있는데 운영자금을 모으는 이유도 투자하겠다는 게 아니죠? 자금 조달한 이유도 매출이 확대되니까 우리가 재고를 사 오려면 돈이 더 필요해서 돈을 끌어모은다는 거잖아요. 알짜처럼 보이긴 하지만 제가 볼 때는 삼성전자가 목줄을 꽉 쥐고 있는 기업 아닌가 이런 생각이 좀 들어요.

“여기가 말씀하셨던 것처럼 상장 때 들어온 돈으로 운영자금을 쓸 거고, 운영자금은 우리가 매출이 커지니까 재고를 확보하려면 돈이 필요하다 이렇게 볼 수 있습니다. 지금 공모한 금액이 200억원 초반입니다. 앞서 말씀드렸다시피 작년 3분기까지 누적 순이익이 142억원이었어요. 그러니까 약간 왜 상장하지? 하는 생각이 조금 들기도 합니다. 앞서 말씀하셨던 삼성전자의 반도체를 유통하는 에스에이엠티는 상장되어 있고요. 미래반도체는 이번에 상장하고 나머지는 신성반도체가 있는데, 여기는 미래반도체와 규모가 조금 비슷했는데 최근에 미래반도체가 계속 연 매출이 커져서요. 좀 차이가 나는데 어쨌든 신성반도체도 지분 구조를 보면 최대주주 측이 100% 가지고 있습니다.”

-삼성의 반도체를 유통한다는 것 자체가 굉장히 안정적인 사업권을 갖고 왔다고 평가할 수 있습니다. 저희가 예전에 에스에이엠티의 무진전자 영업권 인수를 보도했듯이 무진전자가 이것저것 송사에 휘말리고 세메스 기술을 가져갔니 아니니 이런 얘기 나왔죠. 삼성은 공식적으로는 그건 에스에이엠티와 무진전자 간의 거래이기 때문에 우리는 관여하지 않았다고 하지만 누구나 봤을 때는 무진전자의 유통권을 박탈하고 에스에이엠티 너희가 가져가서 해라, 이렇게 얘기했을 거라고 판단을 하거든요.

“밖에서 볼 때는 그렇죠.”

-에스에이엠티가 그때 그 보도 나오고 나서 주가가 엄청나게 올랐었거든요. 당연히 그 물량을 다 가져오는 볼륨을 다 가져오는 거니까 그래서 좋게 보면 따뜻하게 사업을 할 수 있다지만, 또 나쁘게 보면 또 한 칼에 또 회사가 굉장히 어려워질 수도 있지 않겠나 하는 생각입니다. 지금 말씀하신 내용 들어보면 굳이 저 금액을 조달하려고 상장하는 이유에 대해서. 손바뀜이라고 해야 합니까? 혹시 매각을 염두에 둔 거 아닌가 이런 류의 얘기도 나옵니다. 맞습니까? 직접 전망하신 거예요?

“그렇게 볼 수도 있지 않을까 싶습니다.”

-다음 또 넘어가면 삼기이브이라는 회사는 어떻습니까?

“여기는 방송일 기준으로 수요 예측이 끝났는데요. 수요 예측이 끝났기 때문에 공모가가 나올 거라서 약간 말씀드리기가 조금 조심스럽습니다.”

-앞으로 얘기할 곳은 상장하는 회사들의 얘기를 하는 거군요. 삼기이브이는 뭐 하는 회사예요?

“배터리 셀을 만드는 기업들은 LG에너지솔루션, SK온, 삼성SDI가 있는데 셀로 모듈을 만들지 않습니까. 모듈까지는 셀을 만드는 기업에서 관여하고 그런데 모듈은 셀을 여러 가지를 한곳에 두고 한 통에 담는 건데요. 그 모듈을 한 통에 셀을 담고 한 통에 담을 때 일종의 뚜껑이라고 봐야 하겠죠. 뚜껑을 앤드 플레이트라고 하는데 그걸 만드는 기업입니다.”

-주로 어느 회사들이랑 거래를 많이 하고 있죠?

“여기가 LG에너지솔루션이 주요 고객사고 LG에너지솔루션을 통해서 완성차에 탑재가 됩니다. 저희가 그동안 여러 가지 기업들을 많이 얘기했지만, 여기처럼 이렇게 얘기하기 좀 쉬운 기업이 없지 않았나 싶습니다. 왜냐하면 딱 이해가 되지 않습니까? 삼기이브이의 앤드 플레이트가 들어간 LG에너지솔루션의 셀과 팩, 즉 배터리가 들어간 전기차들이 어디냐를 보면요. 아우디 e-tron이나 마세라티, 포르쉐 타이칸 그리고 포드 등입니다. 포드 같은 경우는 우리나라에 잘 없으니까 포드의 머스탱 마하-E 라는 자동차가 있고요. 여기에 이제 삼기이브이의 앤드 플레이트가 들어간 LG에너지솔루션이 만든 배터리 모듈이 들어갑니다. 삼기이브이가 2020년에 설립이 됐는데요.”

-설립된 지 얼마 안 됐네요.

“그런데 스타트업은 아닙니다. 이 업 특성상 삼기는 자동차 부품 하던 곳이 물적 분할해서 설립했습니다.""

-여기도 물적분할 한 거예요?

“물적 분할 재상장했습니다. 그러다 보니까 최근에 물적 분할 재상장에 대해서 여러 가지 이슈들도 있었는데, 삼기도 주식을 현물 배당하겠다 이런 계획도 나왔습니다.”

-그러면 여기서 지금 예상하는 거는 구주 매출을 196억에서 234억을 잡아놓은 거니까 삼기이브이가 공모 상단 맞으면 234억원 정도는 들어온 거네요.

“그것 때문에 보통 물적 분할해서 재상장하는 거죠. 그러면서도 지분율이 크게 낮아지지 않으니까요.”

-주로 LG에너지솔루션으로부터 물건을 받아 같이 협업해서 간다고 했는데요. LG에너지솔루션이 물적 분할을 언제 했죠? 지금 같으면 이렇게 하기 쉽지 않죠?

“지금 같은 경우는 물적 분할하는 것부터가 걸림돌이 많이 있습니다. 저희들이 작년에 얘기했던 DB하이텍 같은 경우 물적 분할 하려다 결국에는 철회했죠. 물적 분할하려고 하는 때부터 여러 가지 챌린지들을 해결해야 합니다.”

-개인주주들이 가만히 있지 않으니까요. 물적 분할이라는 단어 자체에 대한 경기가 좀 있는 것 같아요. 어쨌든 삼기이브이는 2022년 3분기까지 누적으로 매출이 꽤 되네요. 한 800억 넘으니까 순익도 120억 정도 넘는 것 같고요. 회사 안에 두는 것보다 쪼개서 저렇게 성장하는 게 삼기 입장에서는 좋지 않나 싶습니다. 여기 말고 지금 두 개 더 있는데요. 일단 상장할 기업인데 제이오라는 회사가 있는데 여기는 뭐 만드는 회사예요?

“여기는 원래 플랜트 엔지니어링이 주 업입니다. 여러 가지 화학이라든지 이런 공장들의 설비를 설계도 하고 직접 시공도 하고 뭐 등등 하는데요. 여기가 상장을 하려고 하는데 주재료는 CNT 도전재, 배터리 2차전지에 들어가죠.”

-이것도 약간 그쪽으로 초점을 맞췄군요. 플랜트 이렇게 하면 굉장히 옛날 산업처럼 보이니까요.

“그렇게 보게 되죠. 근데 어쨌든 작년에 상장하려고 했고 하다가 뭔가 좀 잘못됐는지 IPO 일정도 좀 늦췄어요. 늦췄는데도 뭔가 또 안 됐는지 철회했었고, 이번에 재도전하는 겁니다.”

-원래 도전했을 때 생각했던 벨류가 얼마예요. 상장 후 밸류가?

“원래 5000억원대를 생각했었습니다.”

-지금 다시 철회하고 한 달 반 만에 다시 재도전했을 때의 상장 밸류는 얼마입니까?

“3000억원대입니다.”

-많이 내렸네요. 뭔가 상장이 절실하다는 느낌인가요?

“그렇습니다. 여러 가지로 절실한 것 같아요. 여기는 짧게 말씀드리면 주주 중에 SK이노베이션이 5%를 들고 있습니다.""

-많이 들고 있네요.

“그러니까 SK이노베이션의 자회사인 SK온에서 만드는 2차전지에 들어가는 CNT 도전재를 한다고 볼 수 있습니다. 그리고 여기가 저는 좀 재미있었던 포인트라고 본 게 작년에 상장하려고 하다가 철회를 한 다음에 갑자기 인터뷰를 합니다. 강덕주 대표 인터뷰 기사라기보다 어쨌든 쿼트(quote)가 나온 기사가 있었는데 그때 CNT 공장을 다 지었다고 해요. 어쨌든 CNT 쪽으로 어필을 많이 해서 상장을 하려고 하는데 지난번에 왜 상장이 왜 안 됐을까 생각해보면, 뭐가 안 맞아서 당연히 철회한 건데요. 지난번에는 구주 매출이 있었는데 조금은 특이하게 여기는 전량 자사주 구주 매출을 하려고 했었습니다. 보통 자사주를 이렇게 구주 매출을 하는 경우는 많이 없죠. 왜냐하면 자사주는 그냥 보통 회사들이 그냥 갖고 있으면 뭐 여러 가지로 쓸 수 있는 카드들이 많은데요.”

-직원들한테 준다거나 등등?

“그런데 이때 자사주를 다 판다는 거는 어떤 의미로 해석이 가능하냐면 “이게 설마 고점이 아닌가? 회사에서도 이걸 다 팔려고 하는 거 아니야”라고 할 수 있겠죠. 왜냐하면 보통은 자사주를 좀 확보해놓으려고도 많이 회사들이 하니까요. 그런데 어쨌든 이번에 재도전할 때는 이 자사주 구주 매출은 뺐습니다.”

-지금 실적이 별로 안 좋죠? 매출이 700억원대 후반이고 계속 순적자나 영업적자가 계속 나고 있는 것 같고요. 매출 대부분이 플랜트 사업에서 발생하고 있는데 2차전지 CNT 같은 경우는 이제 도전재, 첨가제인데요.

“첨가제입니다.”

-핵심이 뭐 양극재, 음극재 이걸로 하겠다는 게 아니고 거기에 섞는 뭔가 MSG라고 해야 합니까? 마법의 가루 같은 걸 약간 섞어서 쓰는 거라서 이게 그렇게 매출이 많이 나올 수 있는 품목인가에 대해서 약간 좀 의문이 있기는 합니다. 그건 회사에서 나중에 IR이나 이런 데 제대로 얘기하겠죠. 그래서 아마 벨류가 좀 떨어지는 거 아닌가 싶기도 하고 모르겠습니다. 마지막으로 하나 더 있죠. 나노팀이라는 회사인데요.

“이것도 2차전지 관련 회사입니다. 여기서 하는 상품에 대해서 잠깐 말씀을 드리면 아까 배터리 셀 기업이 셀 하고 그다음에 모듈까지 한다고 했는데요. 모듈 이후부터는 완성차 기업에서 한다고 봐야 하는데 모듈 다하면 팩이죠. 그러니까 나노팀은 팩하고 모듈 사이에 들어가는 이거 갭패드라고도 하고 갭필러라고도 하는데 어쨌든 팩하고 모듈 사이에 약간의 공간이 있으면 거기를 채워주는, 열 전도성이 매우 훌륭한 그런 물질을 만드는 회사입니다.”

-배터리에서 나는 열을 밖으로 잘 빼준다는 얘기입니까?

“맞습니다. 보통 PC에서도 이렇게 CPU랑 돌아가는 팬 사이에 그런 게 들어가죠.”

-써멀그리스 발라놓고 위에 히트 싱크 딱 붙이죠.

“맞습니다. 그런 개념하고 거의 비슷합니다.”

-이건 많이 쓰나 보죠?

“나노팀 같은 경우는 재밌다고 보는 것이, 여기서 밝히기로는 국내에 비슷한 경쟁사들이 LG화학, KCC, 신성유화 이런 데가 있는데 아직 이들 회사는 관련 매출이 없다고 합니다.”

-나노팀은 매출이 있죠?

“나노팀은 매출이 있어요. 그리고 나노팀 같은 경우, 해외 경쟁사는 헨켈이 있고 다들 되게 글로벌 기업입니다. 헨켈이 있고 3M이 있고 신에츠 화학이 있고 다우코닝 등 글로벌 아주 굉장히 오래되고 기술력을 갖춘 회사들이죠. 근데 나노팀은 2016년에 만들어졌습니다. 일종의 스타트업이죠. 근데 2016년에 만들어지고 나서부터 만들어지고 2017년에 국내 자동차 회사의 공급 업체가 됩니다. 국내라고 해봐야 현대 기아 그룹밖에 없겠죠.”

-현대차, 기아차겠죠.

“나노팀 대표가 최윤성 대표라는 분인데, 이분이 헨켈코리아 부사장을 2014년부터 2016년까지 했습니다. 그러고 나서 나노팀이 2016년 12월 28일에 설립이 됐는데요. 나노팀은 2017년에 갭패드 공급 업체가 됩니다.”

-헨켈 하면은 세제 생각하시는 분들이 있는데, 산업용 접착제라든지 이런 걸로 되게 유명한 회사 아닙니까.

“그렇습니다. 퍼실이라든지 우리가 익숙한 그런 것도 있죠.”

-헨켈이 전자재료 쪽 되게 잘합니다. 헨켈도 자동차 쪽 많이 하거든요.

“나노팀은 설립한 지 1년 만에 매출이 13억원을 기록합니다. 그 이후에 국내에 현대, 기아차에 갭패드, 갭필러를 공급하고 있습니다. 갭패드는 애초에 굳힌 거를 갖다 놓는 거고 갭필러는 액상 상태를 가져다가 굳히는 겁니다.”

-여기는 상장 후 밸류를 2200억원에서 2500억 정도 보고 있는 겁니까?

“그렇게 보고 있는데 앞서 말씀드린 저희 얘기했던 내용 중에 IPO가 과연 우리가 레인지를 벗어났다고 해서 참패냐, 애초에 그러면 이거를 선정할 때부터 어떻게 선정해야 하는 것이냐, 이걸 봐야 한합니다. 이번에 공모가 산정할 때 보통 앞서 말씀드렸다시피 퍼(PER)를 기준으로 합니다. 이미 상장된 곳 중에 상장하려는 회사와 비슷하다고 생각되는 기업들의 퍼(PER)를 몇 가지를 가져와서 그걸 평균을 낸 다음에 적용하고, 적용을 하면서도 물론 바로 상장을 해버리니까 할인을 한 20%~30% 줘서 선정하게 되는데요. 여기서 애초에 평균적으로 낸 퍼(PER)가 31.46배인데, 상장사의 퍼(PER)치고는 상당히 높은 편입니다.”

-그렇군요.

“보통 상장사들 퍼(PER)를 국내 기준으로 평균 한 10배 정도로 보는데요. 그러면 어떤 기업들을 선정했길래 이렇게 평균 퍼(PER)가 높냐 봤더니 후성이나 천보 (주)엘앤에프, SKC 등이에요.”

-한국이 전반적으로 그렇게 좀 낮기는 하지만 사실 말씀하신 요지는 기존 대비 굉장히 높게 잡았다는 얘기네요.

“나노팀에서 공략하는 제품의 기술력과 혹은 고객사와 산업군하고 그런 회사들과 겹치지는 않죠.”

-맞는 게 없지요.

“딱 맞는 곳은 없지만 여기서 말한 후성이나 첨부나 (주)엘앤에프나 SKC는 너무 동떨어진 곳을 잡은 거 아닌가 싶습니다. 지금 여기가 이렇게 퍼(PER)가 높은 이유는 2차전지 산업에 대한 기대감 때문에 퍼(PER)가 상당히 올라가는 건데 조금 다르게 볼 수 있지 않을까 생각이 듭니다.”

저작권자 © 전자부품 전문 미디어 디일렉 무단전재 및 재배포 금지"
